Author,Birth Year,Death Year,Display Name
Abraham Lincoln,1809,1865,Abraham Lincoln
Alexander the Great,-356,-323,Alexander the Great
Albert Einstein,1879,1955,Albert Einstein
Aristotle,-384,-322,Aristotle
Augustus Caesar,-63,14,Augustus Caesar
Benjamin Franklin,1706,1790,Benjamin Franklin
Buddha (Siddhartha Gautama),-563,-483,Buddha (Siddhartha Gautama)
Catherine the Great,1729,1796,Catherine the Great
Charlemagne,747,814,Charlemagne
Charles Darwin,1809,1882,Charles Darwin
Cleopatra VII,-69,-30,Cleopatra VII
Christopher Columbus,1451,1506,Christopher Columbus
Confucius,-551,-479,Confucius
Constantine the Great,272,337,Constantine the Great
Dante Alighieri,1265,1321,Dante Alighieri
Elizabeth I,1533,1603,Elizabeth I
Erasmus of Rotterdam,1466,1536,Erasmus of Rotterdam
Florence Nightingale,1820,1910,Florence Nightingale
Franklin D. Roosevelt,1882,1945,Franklin D. Roosevelt
Frederick Douglass,1818,1895,Frederick Douglass
Galileo Galilei,1564,1642,Galileo Galilei
Genghis Khan,1162,1227,Genghis Khan
George Washington,1732,1799,George Washington
Henry VIII,1491,1547,Henry VIII
Hippocrates,-460,-370,Hippocrates
Homer,-800,-750,Homer
Isaac Newton,1643,1727,Isaac Newton
Ivan the Terrible,1530,1584,Ivan the Terrible
James Madison,1751,1836,James Madison
Joan of Arc,1412,1431,Joan of Arc
Johann Sebastian Bach,1685,1750,Johann Sebastian Bach
John Adams,1735,1826,John Adams
John F. Kennedy,1917,1963,John F. Kennedy
Julius Caesar,-100,-44,Julius Caesar
Karl Marx,1818,1883,Karl Marx
King Solomon,-990,-931,King Solomon
Laozi (Lao Tzu),-601,-531,Laozi (Lao Tzu)
Leonardo da Vinci,1452,1519,Leonardo da Vinci
Louis XIV,1638,1715,Louis XIV
Ludwig van Beethoven,1770,1827,Ludwig van Beethoven
Mahatma Gandhi,1869,1948,Mahatma Gandhi
Marco Polo,1254,1324,Marco Polo
Marie Antoinette,1755,1793,Marie Antoinette
Marie Curie,1867,1934,Marie Curie
Martin Luther,1483,1546,Martin Luther
Martin Luther King Jr.,1929,1968,Martin Luther King Jr.
Michelangelo,1475,1564,Michelangelo
Moses,-1391,-1271,Moses
Muhammad,570,632,Muhammad
Napoleon Bonaparte,1769,1821,Napoleon Bonaparte
Nelson Mandela,1918,2013,Nelson Mandela
Nicolaus Copernicus,1473,1543,Nicolaus Copernicus
Nikola Tesla,1856,1943,Nikola Tesla
Oliver Cromwell,1599,1658,Oliver Cromwell
Pablo Picasso,1881,1973,Pablo Picasso
Paul the Apostle,5,67,Paul the Apostle
Peter the Great,1672,1725,Peter the Great
Plato,-428,-348,Plato
Queen Victoria,1819,1901,Queen Victoria
Ramses II,-1303,-1213,Ramses II
René Descartes,1596,1650,René Descartes
Richard the Lionheart,1157,1199,Richard the Lionheart
Robert E. Lee,1807,1870,Robert E. Lee
Rosa Parks,1913,2005,Rosa Parks
Sigmund Freud,1856,1939,Sigmund Freud
Socrates,-470,-399,Socrates
Sophocles,-496,-406,Sophocles
Sun Tzu,-544,-496,Sun Tzu
Susan B. Anthony,1820,1906,Susan B. Anthony
Theodor Herzl,1860,1904,Theodor Herzl
Thomas Aquinas,1225,1274,Thomas Aquinas
Thomas Edison,1847,1931,Thomas Edison
Thomas Jefferson,1743,1826,Thomas Jefferson
Theodore Roosevelt,1858,1919,Theodore Roosevelt
Tsar Nicholas II,1868,1918,Tsar Nicholas II
Ulysses S. Grant,1822,1885,Ulysses S. Grant
Vincent van Gogh,1853,1890,Vincent van Gogh
Voltaire,1694,1778,Voltaire
William Shakespeare,1564,1616,William Shakespeare
Winston Churchill,1874,1965,Winston Churchill
Wolfgang Amadeus Mozart,1756,1791,Wolfgang Amadeus Mozart
Xerxes I,-519,-465,Xerxes I
Zheng He,1371,1433,Zheng He
Akbar the Great,1542,1605,Akbar the Great
Alexander Hamilton,1755,1804,Alexander Hamilton
Alfred the Great,849,899,Alfred the Great
Anne Frank,1929,1945,Anne Frank
Attila the Hun,406,453,Attila the Hun
Augustus Saint-Gaudens,1848,1907,Augustus Saint-Gaudens
Catherine de' Medici,1519,1589,Catherine de' Medici
Charles V,1500,1558,Charles V
Chief Sitting Bull,1831,1890,Chief Sitting Bull
Clovis I,466,511,Clovis I
David Ben-Gurion,1886,1973,David Ben-Gurion
Eleanor Roosevelt,1884,1962,Eleanor Roosevelt
Empress Dowager Cixi,1835,1908,Empress Dowager Cixi
Ernest Hemingway,1899,1961,Ernest Hemingway
Fidel Castro,1926,2016,Fidel Castro
